full.name,PA,run,algo,expl.var,rand,var.imp,Predictor_variable,Group
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,1,0.004213,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,2,0.004026,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,3,0.003837,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,4,0.003839,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,5,0.003437,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,1,0.004359,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,2,0.004062,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,3,0.004583,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,4,0.00408,Cassava Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,5,0.004244,Cassava Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cassava harvested area,1,0.003517,Cassava Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cassava harvested area,2,0.003119,Cassava Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cassava harvested area,3,0.0039,Cassava Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cassava harvested area,4,0.00323,Cassava Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,cassava harvested area,5,0.003444,Cassava Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cassava harvested area,1,0.007303,Cassava Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cassava harvested area,2,0.005985,Cassava Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cassava harvested area,3,0.00684,Cassava Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cassava harvested area,4,0.006801,Cassava Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,cassava harvested area,5,0.00606,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cattle production,1,0.002943,Cattle Production,Land Use
