PA.nb.absences,Sampling_Technique,PA_Ratio,Radii,Sigma_(KDE),Boyce_Index
Density_PopulationDSigma5_Buffer50k_500k_n4000.tif,Density-Weighted Population-Based Sampling,4000,50 - 500 km,5,0.92215125
Density_PopulationDSigma1_Buffer0_n10000.tif,Density-Weighted Population-Based Sampling,10000, - ,1,0.886379858
Density_PopulationDSigma3_Buffer0_n10000.tif,Density-Weighted Population-Based Sampling,10000, - ,3,0.745475938
Density_PopulationDSigma5_Buffer0_n10000.tif,Density-Weighted Population-Based Sampling,10000, - ,5,0.78475126
Density_PopulationDSigma1_Buffer50k_150k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 150 km,1,0.715492174
Density_PopulationDSigma3_Buffer50k_150k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 150 km,3,0.838222826
Density_PopulationDSigma5_Buffer50k_150k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 150 km,5,0.737589376
Density_PopulationDSigma1_Buffer50k_300k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 300 km,1,0.782647082
Density_PopulationDSigma3_Buffer50k_300k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 300 km,3,0.739697539
Density_PopulationDSigma5_Buffer50k_300k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 300 km,5,0.875628447
Density_PopulationDSigma1_Buffer50k_500k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 500 km,1,0.757597498
Density_PopulationDSigma3_Buffer50k_500k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 500 km,3,0.826678827
Density_PopulationDSigma5_Buffer50k_500k_n10000.tif,Density-Weighted Population-Based Sampling,10000,50 - 500 km,5,0.920587715
Geographic_Sampling_400_D150000.tif,Geographic Sampling,400,50 - 150 km, - ,0.807534389
Geographic_Sampling_400_D3e.05.tif,Geographic Sampling,400,50 - 300 km, - ,0.802028801
Geographic_Sampling_400_D5e.05.tif,Geographic Sampling,400,50 - 500 km, - ,0.828431853
Geographic_Sampling_800_D150000.tif,Geographic Sampling,800,50 - 150 km, - ,0.697549953
Geographic_Sampling_800_D3e.05.tif,Geographic Sampling,800,50 - 300 km, - ,0.854347552
Geographic_Sampling_800_D5e.05.tif,Geographic Sampling,800,50 - 500 km, - ,0.398192436
Geographic_Sampling_2000_D150000.tif,Geographic Sampling,2000,50 - 150 km, - ,0.855424514
Geographic_Sampling_2000_D3e.05.tif,Geographic Sampling,2000,50 - 300 km, - ,0.586863904
Geographic_Sampling_2000_D5e.05.tif,Geographic Sampling,2000,50 - 500 km, - ,0.80549139
Geographic_Sampling_4000_D150000.tif,Geographic Sampling,4000,50 - 150 km, - ,0.33877541
Geographic_Sampling_4000_D3e.05.tif,Geographic Sampling,4000,50 - 300 km, - ,0.747562009
Geographic_Sampling_4000_D5e.05.tif,Geographic Sampling,4000,50 - 500 km, - ,0.600387726
Geographic_Sampling_10000_D150000.tif,Geographic Sampling,10000,50 - 150 km, - ,0.813338744
Geographic_Sampling_10000_D3e.05.tif,Geographic Sampling,10000,50 - 300 km, - ,0.570676694
Geographic_Sampling_10000_D5e.05.tif,Geographic Sampling,10000,50 - 500 km, - ,0.836707053
Random_Sampling_400.tif,Random Sampling,400, - , - ,0.653057652
Random_Sampling_800.tif,Random Sampling,800, - , - ,0.287172002
