"","Longitude","Latitude","occurrence"
"205",-60.8208034,-13.1890039,1
"206",-39.5212796,-12.9450658,1
"207",-40.4066664,-19.9332427,1
"208",-59.6993618,-2.6981994,1
"209",-38.6168111,-12.7439601,1
"210",-44.000086,-22.5179876,1
"211",-65.3305618,-10.4106678,1
"212",-61.4191455,3.6542857,1
"213",-61.29899,-5.8131866,1
"214",-67.8098191,-9.9740249,1
"215",-42.9720399,-22.4161561,1
"216",-60.3612468,-3.8194331,1
"217",-40.0653505,-19.3990502,1
"218",-61.6042879,-12.1817046,1
"219",-34.827182,-7.7434538,1
"220",-67.0877374,-0.1307918,1
"221",-62.3116194,-11.7259392,1
"222",-40.9800779,-18.5474572,1
"223",-39.5223948,-14.2133548,1
"224",-38.9600762,-12.2535848,1
"225",-71.6935424,-7.048709,1
"226",-35.26639,-5.924287,1
"227",-39.4905836,-13.5996812,1
"228",-48.6336183,-27.240063,1
"229",-52.2079174,-3.2044205,1
"230",-54.9119068,-9.950366,1
"231",-61.3192601,-11.8302007,1
"232",-56.4248394,-14.8268962,1
"233",-61.4608111,-10.8422109,1
"234",-70.3574386,-8.1674305,1
"235",-61.1265436,1.822514,1
"236",-35.5838789,-8.6788402,1
"237",-35.1999708,-5.7841695,1
"238",-39.2616711,-12.9698964,1
"239",-40.5120603,-11.1816506,1
"240",-38.9002404,-4.466618,1
"241",-39.8456117,-14.2868431,1
"242",-57.5890432,-2.9697392,1
"243",-51.1771699,-0.037562,1
"244",-36.4328486,-9.5349944,1
"245",-46.6457853,-1.0249128,1
"246",-42.7249305,-10.8233884,1
"247",-61.0116257,-11.5257245,1
"248",-35.721818,-8.6679731,1
"249",-61.1483114,4.478433,1
"250",-67.9510767,-9.8275973,1
"251",-41.6799844,-18.0343603,1
"252",-62.2559803,-10.7209164,1
"253",-63.8330301,-10.1947026,1
"254",-49.0023,-26.4743278,1
"255",-59.5940116,-4.393379,1
"256",-48.501299,-1.4563432,1
"257",-43.1013526,-22.8807073,1
"258",-60.9187845,2.4470932,1
"259",-48.9797636,-28.164895,1
"260",-39.4964037,-15.4201038,1
"261",-39.4141123,-15.2626657,1
"262",-51.4638893,-23.5525322,1
"263",-56.8004443,-14.4536611,1
"264",-64.2294518,-12.4357197,1
"265",-42.4182107,-18.1901069,1
"266",-72.9059736,-7.6135099,1
"267",-42.654935,-6.118705,1
"268",-35.4450892,-7.8771637,1
"269",-54.585403,-25.5165101,1
"270",-39.0463956,-4.4194845,1
"271",-42.4683252,-22.8935085,1
"272",-46.8892222,-23.1856528,1
"273",-62.9255938,-0.9740168,1
"274",-35.5091051,-7.6872155,1
"275",-39.1464519,-13.7352913,1
"276",-48.7678952,-27.2655926,1
"277",-45.0779522,-5.1061569,1
"278",-61.311602,2.9926679,1
"279",-47.2336005,-24.2767555,1
"280",-59.1344817,-3.5789467,1
"281",-48.732731,-5.540109,1
"282",-43.061135,-5.976603,1
"283",-34.8814339,-7.1188352,1
"284",-66.0640539,-3.4747682,1
"285",-35.2574319,-9.0883326,1
"286",-39.9560266,-18.3035985,1
"287",-38.4950658,-4.0986551,1
"288",-39.9695429,-13.5281974,1
"289",-63.1856654,-9.1886098,1
"290",-50.9482138,2.4949522,1
"291",-44.3185172,-23.0069216,1
"292",-38.0188963,-11.661242,1
"293",-48.5468118,-27.5968578,1
"294",-67.7756257,-2.8618121,1
"295",-55.1654526,-15.5454465,1
"296",-43.115382,-3.6729343,1
"297",-49.2398122,-26.4279149,1
"298",-63.1890251,-5.6250293,1
"299",-40.5999111,-19.9320354,1
"300",-35.8122961,-8.783486,1
"301",-49.9060708,-26.339495,1
