full.name,PA,run,algo,expl var,rand,var.imp,Group,Predictor_variable
OROV.revised_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,4,0.002716,Land Use,Cassava Harvested Area
OROV.revised_PA2_RUN4_RF,PA2,RUN4,RF,cassava harvested area,5,0.002759,Land Use,Cassava Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,1,0.005734,Land Use,Cassava Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,2,0.005491,Land Use,Cassava Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,3,0.005798,Land Use,Cassava Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,4,0.005892,Land Use,Cassava Harvested Area
OROV.revised_PA2_allRun_RF,PA2,allRun,RF,cassava harvested area,5,0.006365,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,1,0.004009,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,2,0.004148,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,3,0.004163,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,4,0.004027,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN1_RF,PA3,RUN1,RF,cassava harvested area,5,0.004123,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,cassava harvested area,1,0.006529,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,cassava harvested area,2,0.006743,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,cassava harvested area,3,0.00702,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,cassava harvested area,4,0.0062,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN2_RF,PA3,RUN2,RF,cassava harvested area,5,0.006159,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,1,0.007899,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,2,0.007283,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,3,0.006954,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,4,0.007324,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN3_RF,PA3,RUN3,RF,cassava harvested area,5,0.007715,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,1,0.002693,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,2,0.003227,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,3,0.002968,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,4,0.00332,Land Use,Cassava Harvested Area
OROV.revised_PA3_RUN4_RF,PA3,RUN4,RF,cassava harvested area,5,0.002962,Land Use,Cassava Harvested Area
